publication_type,author,book_authors,group_authors,book_group_authors,researcher_id_number,orcid_identifier,editors,title,funding_text,part_number,patent_assignee,publication_name,book_series_title,book_series_subtitle,volume,issue,special_issue,meeting_abstract,beginning_page,ending_page,article_number,digital_object_identifier,book_digital_object_identifier,early_access_date,supplement,publication_date,published_year,abstract,conference_title,conference_date,conference_sponsor,conference_location,wos_core_collection_times_cited_count,total_times_cited_count,issn,electronic_issn,international_standard_book_number,accession_number,pubmed_id
J,"Lechner, Alex M.; Verbrugge, Laura N. H.; Chelliah, Alvin; Ang, Michelle Li Ern; Raymond, Christopher M.",,,,"Raymond, Christopher/G-2712-2010","Raymond, Christopher/0000-0002-7165-885X; Verbrugge, Laura/0000-0003-2888-9027",,Rethinking tourism conflict potential within and between groups using participatory mapping,,,,LANDSCAPE AND URBAN PLANNING,,,203,,,,,,103902,10.1016/j.landurbplan.2020.103902,,,,Nov-20,2020,"Tourism on small tropical islands in the Global South is a balancing act between development to improve local livelihoods and the conservation of fragile coastal and coral ecosystems. The objective of our study is to develop a series of new spatial metrics to support sustainable development through assessing the direction and magnitude of tourism development support and conflict between groups. We surveyed 317 individuals out of an estimated total population of 3300 using public participation GIS (PPGIS) on Tioman Island, Malaysia. Here we present a first example of how nuances in conflict can be articulated spatially across different levels of attitude toward tourism development within and between different segments of the population. Our results suggest that treating a population as homogeneous risks missing place specific development conflicts between segments of the population and locations of agreement where development can be managed sustainably with the support of the community.",,,,,0,0,0169-2046,1872-6062,,WOS:000568997300001,
J,"Karimi, Azadeh; Yazdandad, Hossein; Fagerholm, Nora",,,,,,,"Evaluating social perceptions of ecosystem services, biodiversity, and land management: Trade-offs, synergies and implications for landscape planning and management",,,,ECOSYSTEM SERVICES,,,45,,,,,,101188,10.1016/j.ecoser.2020.101188,,,,Oct-20,2020,"Previous studies have recognized the importance of social dimensions of ecosystem services and their incorporation into planning processes. However, understanding how people's management preferences relate to their perceptions of ecosystem services and biodiversity still needs further exploration in different geographical contexts. We aimed to examine spatial patterns and relationships between perceived ecosystem services, biodiversity and management preferences to illuminate possible synergies and trade-offs between them, and their relationships to protected areas. Empirical data on perceptions of eleven ecosystem services, biodiversity, and seven management preferences were collected using a paper-based participatory mapping technique in a case study in Khorasan Razavi, Iran.The results revealed that provisioning service hotspots were moderately associated with biodiversity (r = 0.39) and cultural service hotspots (r = 0.54), while cultural and biodiversity hotspots showed to be more highly associated (r = 0.71). The hotspot areas for development preferences had low spatial overlap with provisioning hotspots (r = 0.32) and high overlap with conservation preference hotspots (r = 0.66). The majority of service and biodiversity hotspots were located inside protected areas, which indicates that protected areas provide resources that support local livelihoods and social well-being. The findings provide an appropriate foundation for incorporating social perceptions, deriving from needs and interests of local communities, into planning and management.",,,,,0,0,2212-0416,,,WOS:000577343300005,
J,"Garcia-Diez, Victor; Garcia-Llorente, Marina; Gonzalez, Jose A.",,,,,,,Participatory Mapping of Cultural Ecosystem Services in Madrid: Insights for Landscape Planning,,,,LAND,,,9,8,,,,,244,10.3390/land9080244,,,,Aug-20,2020,"Cultural ecosystem services are gaining increasing attention in the scientific literature, despite the conceptual and methodological difficulties associated with their assessment. We used a participatory GIS method to map and assess three cultural ecosystem services, namely, (a) outdoor recreation, (b) aesthetic enjoyment, and (c) sense of place, in the Madrid region (Spain). The main goal of the study was to identify cultural ecosystem service hotspots in the region and to explore the relationships among the three ecosystem services mapped. We developed a Maptionnaire online questionnaire asking participants to locate places that they associate with these three ecosystem services and their main reasons for choosing those places on a map. We collected 580 complete questionnaires with 1710 location points (807 for outdoor recreation, 506 for aesthetic enjoyment and 397 for sense of place). We found that the three ecosystem services analysed were spatially correlated, with similar hotspots appearing across the region. Most of the identified hotspots were located in the northern part of the region, which is characterised by mountains and forests. Other hotspots appeared within the city of Madrid, highlighting the importance of urban green areas. Natural protected areas supplied significantly more cultural ecosystem services than non-protected areas. Among CORINE land-use types, forested areas, mountain shrubs and rocky landscapes were more relevant than arable lands for the supply of cultural ecosystem services. Our results highlight the utmost importance of including ecosystem services mapping within land-use planning and policy-making agendas to ensure the conservation of areas supplying cultural services that are critical for societal wellbeing.",,,,,0,0,,2073-445X,,WOS:000577783100001,
J,"Slater, Anne-Michelle; Irvine, Katherine N.; Byg, Anja A.; Davies, Ian M.; Gubbins, Matt; Kafas, Andronikos; Kenter, Jasper; MacDonald, Alison; Murray, Rory O'Hara; Potts, Tavis; Tweddle, Jacqui F.; Wright, Kirsty; Scott, Beth E.",,,,,"Tweddle, Jacqueline/0000-0002-4261-0638",,Integrating stakeholder knowledge through modular cooperative participatory processes for marine spatial planning outcomes (CORPORATES),,,,ECOSYSTEM SERVICES,,,44,,,,,,101126,10.1016/j.ecoser.2020.101126,,,,Aug-20,2020,"Management of the sea is increasingly complex, riddled with uncertainty and necessitates involvement from researchers across disciplines and stakeholders from multiple policy and practice sectors. This article discusses ""The Cooperative Participatory Evaluation of Renewable Technologies on Ecosystem Services"" (CORPORATES) research project, which developed an innovative and practical method of linking ecological processes, ecosystem services and benefits. The research was conducted in the context of licensing decisions for offshore wind farms in the North Sea (Scotland, UK).A set of linked, modular participatory processes were developed to foster cross-sector stakeholder engagement. It employed an exchange of ecological, legal, social, economic and cultural knowledge around marine ecosystem services. Workshop exercises included participatory mapping, benefit identification, and developing an understanding of linkages between ecosystem services, benefits, stakeholders' activities and policy drivers through co-development of conceptual systems maps of the study area.The participatory exercises fostered meaningful dialogue across sectors and an ability to participate equally, despite initial differences in knowledge about ecosystem services. The development of conceptual systems maps facilitated productive discussion about trade-offs in relation to different policies. Reflective discussion identifies ways in which the developed processes could be integrated into future decision making.An assessment of the approach revealed that it operationalised a post normal science framework in terms of process oversight, multiple knowledge claims, and managing uncertainty. It developed a process that linked understanding of ecosystem functioning with the creation and implementation of policy thereby creating an ecosystem approach to marine spatial planning and licensing decisions, as required by law.This approach has extensive transferability to situations where stakeholder engagement is required to develop policy and provide feedback as part of a decision-making process. It is an engagement, outreach tool for communities and can help teach methods and processes for stakeholder engagement which enable new insights.",,,,,0,0,2212-0416,,,WOS:000552657600005,
J,"de Bisthoven, L. Janssens; Vanhove, M. P. M.; Rochette, A-J; Huge, J.; Verbesselt, S.; Machunda, R.; Munishi, L.; Wynants, M.; Steensels, A.; Malan-Meerkotter, M.; Henok, S.; Nhiwatiwa, T.; Casier, B.; Kiwango, Y. A.; Kaitila, R.; Komakech, H.; Brendonck, L.",,,,"Wynants, Maarten/AAX-9992-2020","Solomon, Henok/0000-0002-7236-5725; Brendonck, Luc/0000-0001-5383-1420; Vanhove, Maarten/0000-0003-3100-7566",,"Social-ecological assessment of Lake Manyara basin, Tanzania: A mixed method approach",,,,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,,267,,,,,,110594,10.1016/j.jenvman.2020.110594,,,,AUG 1 2020,2020,"The social-ecological system of the Lake Manyara basin (Northern Tanzania), a UNESCO Biosphere reserve (BR) suffers from social-economic and environmental problems due to decreasing water levels, erosion and land and water use conflicts. We propose an integrated assessment of the social-ecological interactions of the area to support future sustainable management. Within the Drivers-Pressures-State-Impact-Response (DPSIR) framework an integrated literature review and several methods of knowledge collection were combined to identify future management priorities and challenges. During focus groups with farmers and pastoralists, stakeholders confirmed the role played by land use changes as driver and pressure in the landscape, e.g. through increased erosion rates and siltation of the lake. Moreover, economic and social issues were identified as prominent factors being influenced by, or influencing these processes. These statements match the scientific literature. During participatory mapping exercises different spatial and resource allocation perceptions appeared amongst pastoralists and farmers. The multidisciplinary approach proved to be useful to acquire an integrated and comprehensive understanding of the state, challenges and opportunities of Lake Manyara BR, to feed into a decision support system in service of an integrated management plan. Our assessment suggests that improved water governance in a multi-actor approach (with a focus on distribution of benefits, rights, and a specific role of the water authorities) should be a priority for future integrated management strategies. Also, awareness raising amongst decision makers, scientists and local communities is needed to demonstrate the advantages of an integrated approach. And finally, visible and fair mechanisms to share conservation revenues should be designed in a way that local benefits can be obtained together with incentive mechanisms for co-management and conservation.",,,,,0,0,0301-4797,1095-8630,,WOS:000533525100033,32349949
J,"Komossa, Franziska; Wartmann, Flurina M.; Kienast, Felix; Verburg, Peter H.",,,,"Wartmann, Flurina/AAJ-7760-2020; Kienast, Felix/L-3536-2013; Verburg, Peter/A-8469-2010","Wartmann, Flurina/0000-0003-4788-2963; Kienast, Felix/0000-0002-3812-3124; Verburg, Peter/0000-0002-6977-7104; Komossa, Franziska/0000-0003-3580-3324",,Comparing outdoor recreation preferences in peri-urban landscapes using different data gathering methods,,,,LANDSCAPE AND URBAN PLANNING,,,199,,,,,,103796,10.1016/j.landurbplan.2020.103796,,,,Jul-20,2020,"The growing demand for a variety of outdoor recreation pursuits in peri-urban areas evokes the need for effective landscape management strategies based on reliable information about recreationists, their preferences and use of the landscape. Although a variety of methods are available for gathering this information, there is a lack of understanding if and how results from these methods are comparable. In this study we apply both direct engagement methods in the form of interviews (incl. participatory mapping, free-listing and quantitative photo ranking) and indirect engagement methods by analysing social media content (location, tags and photo content). The goal was to gather and compare data on outdoor recreation preferences in two study areas, one in the Netherlands and one in Switzerland. We found similar landscape preferences among study areas through both types of engagement methods. Our results indicate that these methods in general consistently identify similar landscape preferences. However, we also found differences regarding the type of information they manage to capture. For instance, for gathering landscape preferences, we found that free-listing and social media user tags, captured attributes related to the social and cultural appreciation of landscapes, including sensory qualities of a landscape and sense of place. The results highlight the potential of complementary approaches for capturing heterogeneous information needed for outdoor recreation research and, more generally, for landscape monitoring and management. Combining multiple methods enables relatively robust findings to be identified, but also addresses different aspects of landscape appreciation from different user groups.",,,,,0,0,0169-2046,1872-6062,,WOS:000528059400003,
J,"Xu, Haiyun; Zhao, Guohan; Fagerholm, Nora; Primdahl, Jorgen; Plieninger, Tobias",,,,"Plieninger, Tobias/E-3861-2010; Fagerholm, Nora/A-6164-2015","Plieninger, Tobias/0000-0003-1478-2587; Primdahl, Jorgen/0000-0002-5628-655X; Fagerholm, Nora/0000-0001-5020-0746",,"Participatory mapping of cultural ecosystem services for landscape corridor planning: A case study of the Silk Roads corridor in Zhangye, China",,,,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,,264,,,,,,110458,10.1016/j.jenvman.2020.110458,,,,JUN 15 2020,2020,"Cultural landscape corridors provide opportunities for recreation and other cultural ecosystem services (CES). Currently, many local governments are preparing cultural landscape corridor (CLC) proposals along China's Silk Roads, which include many notable features of historical human activity and communication between different cultures. However, public values and perceptions of these projects have been largely excluded from the planning processes. This study presents a spatial pattern analysis of public perceptions of the impact of a CLC in Zhangye, China. CES were used as a framework for participatory mapping, interviews, and a structured survey of public perceptions, and correspondence analysis was used to identify resident perceptions of the corridor's expected impact, especially as related to CES. Our results show that aesthetic values, cultural heritage values, and recreation were valued most highly. These values varied according to respondents' employment and land-use rights. The riverside was the most highest-valued area for CES. Respondents expressed concerns about the project's potentially negative impact, especially on the spiritual values of land. These concerns could be the source of conflict during project implementation. We conclude that linking participatory mapping with CES has the potential to improve corridor proposals and assist in the management of conflicts between planners and public stakeholders.",,,,,0,0,0301-4797,1095-8630,,WOS:000530234700042,32250892
J,"Rodriguez-Morales, Beatriz; Roces-Diaz, Jose, V; Kelemen, Eszter; Pataki, Gyorgy; Diaz-Varela, Emilio",,,,,"Roces-Diaz, Jose V./0000-0003-2569-8049",,Perception of ecosystem services and disservices on a peri-urban communal forest: Are landowners' and visitors' perspectives dissimilar?,,,,ECOSYSTEM SERVICES,,,43,,,,,,101089,10.1016/j.ecoser.2020.101089,,,,Jun-20,2020,"Galician communal forests are private lands collectively owned by the neighbours of the rural settlement where they are located. Their societal role shifted from the support of the traditional agrarian system in the past, to a variety of situations nowadays. The intrinsic characteristics of these social-ecological units make them a promising opportunity for rural development in the region that calls for more scientific attention on the arena of ecosystem services. In this study, we investigated the social perception and valuation of a comprehensive range of ecosystem services and disservices on the peri-urban communal forests of Mount Xalo (NW Spain), distinguishing among the perspectives of landowners and various visitor types. For this, we used a socio-cultural approach consisting of 175 semi-quantitative surveys that included a basic Public Participation Geographic Information System. Our results showed that Mt. Xalo is a well recognised provider of ecosystem services that constitutes a local hotspot in the region. The most frequently perceived and most valued ecosystem services within ecosystem services classes were the provision of drinking water, the practice of sports, climate regulation and a group of three cognitive cultural ecosystem services: socializing, mythical features and sense of place. Nevertheless, nuances were noticed among landowners and visitor types following a rural urban gradient where landowners and urban users presented the most significant differences. These findings address recognition to the actual role of these communal forests for society and call for collaboration with public institutions to facilitate the sustainable management of their resources.",,,,,2,2,2212-0416,,,WOS:000537460500012,
J,"Achieng, Therezah; Maciejewski, Kristine; Dyer, Michelle; Biggs, Reinette",,,,,"Achieng, Therezah/0000-0002-3009-9043",,"Using a Social-ecological Regime Shift Approach to Understand the Transition from Livestock to Game Farming in the Eastern Cape, South Africa",,,,LAND,,,9,4,,,,,97,10.3390/land9040097,,,,Apr-20,2020,"This study explored the shift in land use from livestock farming to game farming in the Eastern Cape, South Africa, from a social-ecological regime shift perspective. A regime shift can be defined as a large, persistent change in the structure and function of the intertwined social and ecological components of a landscape. This research focused on the Amakhala game reserve as a case study to understand how the shift affected the provision of ecosystem services and human wellbeing. We used remote sensing techniques to quantify changes in vegetation and found evidence of vegetation recovery following the shift. We then conducted interviews with both landowners and farmworkers and used participatory mapping to understand their perceptions of the main drivers and social-ecological impacts of the shift in land use. Social narratives revealed stark differences in different stakeholders' perceptions, highlighting that the change in land use had varied implications for, and were perceived differently by, different stakeholders. Farmworkers emphasized changes in social structures that weakened community bonds and erased valued connections to the land. At the same time, they increased employment of women, skills development, and increased wages as benefits of the new game farming regime. Landowners, on the other hand, indicated financial gains from the land use change. The transition therefore resulted in trade-offs that surfaced as social, economic, and cultural losses and gains. These changes, especially in social relationships and community structures, have implications for resilience and possible future pathways of development in the region.",,,,,0,0,,2073-445X,,WOS:000533901100020,
J,"Tusznio, Joanna; Pietrzyk-Kaszynska, Agata; Rechcinski, Marcin; Olszanska, Agnieszka; Grodzinska-Jurczak, Malgorzata",,,,"Rechcinski, Marcin/V-3984-2018; Tusznio, Joanna/U-4351-2018","Rechcinski, Marcin/0000-0002-8793-8047; Grodzinska-Jurczak, Malgorzata/0000-0003-2084-641X; Tusznio, Joanna/0000-0003-1289-9183; Olszanska, Agnieszka/0000-0001-7059-4164; Pietrzyk-Kaszynska, Agata/0000-0002-8060-2591",,"Application of the ecosystem services concept at the local level - Challenges, opportunities, and limitations",,,,ECOSYSTEM SERVICES,,,42,,,,,,101077,10.1016/j.ecoser.2020.101077,,,,Apr-20,2020,"Theories, models, and studies of ecosystem services (ESs) are expected to be applicable to conservation practices. However, applying the ES concept becomes challenging, especially in terms of implementing theory into the local-level activities. We analyzed ten participatory mapping workshops involving conservation experts and local stakeholders to investigate theoretical challenges emergent in the ES concept implementation. Based on our results, we argue that local stakeholders are able to address practical problems in mapping ESs that are debated in the literature as major theoretical challenges to the concept. In particular, it considers the theoretical challenges of distinguishing ESs from the other levels of the ESs cascade; challenges in monetary valuation of the ESs, operationalization of service-providing units, service-benefiting areas, and ESs that are co-produced with humans, and the consequences of including the stakeholders' subjective perspectives in mapping ESs.We claim that these challenges can be addressed to a certain extent by defining realistic objectives for the ES mapping, followed by clear rules adjusted for local conditions. The ES concept may serve as an effective tool for engaging local stakeholders in constructive discussions about nature and spatial planning. However, participatory mapping has limitations in relation to providing a comprehensive assessments of ESs.",,,,,0,0,2212-0416,,,WOS:000522223700002,
